specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 35999 ,Cervidae,Muntiacus reevesi reevesi,Muntiacus reevesi,,4.007,4.114,4.116,4.114,4.343,4.229,4.806,5.03,4.686,5.516,5.944,5.486,5.605,6.057,6.172,8.23,7.658,8.343
FMNH 35997,Cervidae,Muntiacus reevesi reevesi,Muntiacus reevesi,,3.52,3.349,3.778,4.624,4.685,4.616,5.409,5.496,5.581,6.611,6.955,6.871,7.642,7.402,7.472,7.298,7.298,7.311
FMNH 88494,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,2.705,2.538,2.712,4.01,4.099,4.174,4.747,4.2,4.828,5.359,5.586,5.156,6.219,6.056,6.137,5.652,5.728,5.728
FMNH 86848,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,2.944,2.855,2.589,3.837,4.016,3.658,4.729,4.694,4.847,5.711,5.534,5.191,5.754,5.543,5.794,5.71,5.445,5.711
FMNH 86846,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,3.337,3.156,3.156,4.147,3.886,4.073,4.959,4.779,5.0049,5.34,5.291,5.848,5.956,5.781,5.535,5.319,5.436,5.5
FMNH 86847,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,2.995,2.716,2.694,4.752,4.544,4.311,5.576,5.054,5.489,5.403,5.315,5.486,5.883,5.778,5.422,5.836,5.445,5.725
FMNH 24363,Cervidae,Pudu puda,Pudu puda,,3.722,3.804,3.713,4.2,4.44,3.993,5.249,5.008,5.09,6.06,6.173,5.992,6.705,6.787,6.521,6.518,6.609,6.541
FMNH 24362,Cervidae,Pudua pudu,Pudu puda,,4.57,4.658,3.754,4.749,4.57,4.68,5.209,5.127,5.026,6.773,6.849,6.91,7.041,7.034,7.22,6.216,6.587,5.765
FMNH 23554,Cervidae,Pudu puda,Pudu puda,,3.388,3.836,3.479,4.465,4.47,4.192,5.393,5.531,5.434,6.366,6.248,5.975,6.777,7.102,6.647,7.355,7.288,6.964
FMNH 50773,Cervidae,Pudu puda,Pudu puda,,4.563,4.077,4.078,3.959,3.839,4.224,5.036,5.037,5.042,6.12,6.235,6.24,7.463,4.038,7.356,6.65,6.724,6.485
FMNH 29828,Cervidae,Axis axis axis ,Axis axis,,,,,4.519,4.775,4.483,5.344,5.979,5.103,9.897,8.035,8.25,12.805,12.635,12.563,13.176,12.819,12.829
FMNH 91222,Cervidae,Axis axis axis ,Axis axis,,5.635,5.875,5.877,6.427,5.974,6.263,7.915,7.558,7.194,8.634,8.634,8.367,10.585,10.672,10.193,11.272,11.157,11.272
FMNH 27457,Cervidae,Axis axis axis ,Axis axis,,5.573,6.025,6.012,6.707,6.357,6.904,7.798,7.951,7.415,11.131,10.883,10.427,10.604,10.768,10.78,11.661,11.831,11.655
FMNH 25703,Cervidae,Axis axis axis ,Axis axis,,5.745,6.165,5.563,7.071,7.171,6.779,8.22,7.936,7.556,10.095,9.881,9.781,12.22,11.969,12.15,11.219,11.42,11.237
FMNH 68004,Cervidae,Rusa alfredi,Rusa alfredi,,5.145,5.437,4.951,6.222,5.884,5.974,7.453,7.492,7.723,7.194,9.144,8.782,11.014,11.668,11.177,11.207,11.334,10.856
FMNH 66326,Cervidae,Rusa alfredi,Rusa alfredi,,5.649,5.624,5.059,7,6.6,6.6,7.865,7.793,7.739,9.498,9.37,9.37,10.965,10.589,10.815,10.161,10.264,10.181
FMNH 68005,Cervidae,Rusa alfredi,Rusa alfredi,,7.069,6.957,6.491,7.695,8.267,7.76,9.445,9.716,9.086,13.026,12.527,12.387,14.508,14.057,14.189,12.813,12.703,13.084
FMNH 60771,Cervidae,Dama dama,Dama dama,,6.358,6.979,6.355,7.859,8.039,7.672,9.347,9.166,8.785,10.633,10.494,10.307,12.377,12.171,11.738,12.739,12.722,12.94
