,occurrences.order_name,occurrences.family_name,occurrences.parent_name,occurrences.genus_name,taxon,reg,,
282,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypisodus,Hypisodus ironsi,ruminantia,,
283,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypisodus,Hypisodus minimus,ruminantia,,
284,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypisodus,Hypisodus paululus,ruminantia,,
285,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypisodus,Hypisodus retallacki,ruminantia,,
286,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx antecedens,ruminantia,,
287,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx blacki,ruminantia,,
288,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx elissae,ruminantia,,
289,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx evansi,ruminantia,,
290,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx mammifer,ruminantia,,
291,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx obliquidens,ruminantia,,
292,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx speciosus,ruminantia,,
293,Artiodactyla,Hypertragulidae,Hypertragulidae,Leptomeryx,Leptomeryx yoderi,ruminantia,,
294,Artiodactyla,Hypertragulidae,Hypertragulidae,Nanotragulus,Nanotragulus loomisi,ruminantia,,
295,Artiodactyla,Hypertragulidae,Hypertragulidae,Nanotragulus,Nanotragulus ordinatus,ruminantia,,
296,Artiodactyla,Hypertragulidae,Hypertragulidae,Nanotragulus,Nanotragulus planiceps,ruminantia,,
297,Artiodactyla,Hypertragulidae,Hypertragulidae,Parvitragulus,Parvitragulus priscus,ruminantia,,
298,Artiodactyla,Hypertragulidae,Hypertragulidae,Simimeryx,Simimeryx hudsoni,ruminantia,,
299,Artiodactyla,Hypertragulidae,Hypertragulidae,Simimeryx,Simimeryx minutus,ruminantia,,
300,Artiodactyla,Leptochoeridae,Leptochoeridae,Leptochoerus,Leptochoerus elegans,ungulate,,
301,Artiodactyla,Leptochoeridae,Leptochoeridae,Leptochoerus,Leptochoerus emilyae,ungulate,,
302,Artiodactyla,Leptochoeridae,Leptochoeridae,Leptochoerus,Leptochoerus spectabilis,ungulate,,
303,Artiodactyla,Leptochoeridae,Leptochoeridae,Leptochoerus,Leptochoerus supremus,ungulate,,
304,Artiodactyla,Leptomerycidae,Leptomerycidae,Hendryomeryx,Hendryomeryx defordi,ruminantia,,
305,Artiodactyla,Leptomerycidae,Leptomerycidae,Hendryomeryx,Hendryomeryx esulcatus,ruminantia,,
306,Artiodactyla,Leptomerycidae,Leptomerycidae,Hendryomeryx,Hendryomeryx wilsoni,ruminantia,,
307,Artiodactyla,Leptomerycidae,Leptomerycidae,Pronodens,Pronodens silberlingi,ruminantia,,
308,Artiodactyla,Leptomerycidae,Leptomerycidae,Pronodens,Pronodens transmontanus,ruminantia,,
309,Artiodactyla,Leptomerycidae,Leptomerycidae,Pseudoparablastomeryx,Pseudoparablastomeryx francescita,ruminantia,,
310,Artiodactyla,Leptomerycidae,Leptomerycidae,Pseudoparablastomeryx,Pseudoparablastomeryx scotti,ruminantia,,
332,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus arenarum,ruminantia,,
333,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus crabilli,ruminantia,,
334,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus elegans,ruminantia,,
335,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus major,ruminantia,,
336,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus medius,ruminantia,,
337,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus minimus,ruminantia,,
338,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus novomexicanus,ruminantia,,
339,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus relictus,ruminantia,,
340,Artiodactyla,Merycoidodontidae,Merychyinae,Merychyus,Merychyus smithi,ruminantia,,
311,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Aclistomycter,Aclistomycter middletoni,ruminantia,,
312,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Bathygenys,Bathygenys alpha,ruminantia,,
313,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Bathygenys,Bathygenys hedlundae,ruminantia,,
314,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Bathygenys,Bathygenys reevesi,ruminantia,,
315,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Brachycrus,Brachycrus buwaldi,ruminantia,,
316,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Brachycrus,Brachycrus laticeps,ruminantia,,
317,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Brachycrus,Brachycrus rusticus,ruminantia,,
318,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Brachycrus,Brachycrus siouense,ruminantia,,
319,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Brachycrus,Brachycrus sweetwaterensis,ruminantia,,
320,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Brachycrus,Brachycrus vaughani,ruminantia,,
321,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Desmatochoerus,Desmatochoerus hesperus,ruminantia,,
322,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Desmatochoerus,Desmatochoerus megalodon,ruminantia,,
323,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Eporeodon,Eporeodon occidentalis,ruminantia,,
324,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Hypsiops,Hypsiops bannackensis,ruminantia,,
326,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Hypsiops,Hypsiops breviceps,ruminantia,,
327,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Leptauchenia,Leptauchenia decora,ruminantia,,
328,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Leptauchenia,Leptauchenia major,ruminantia,,
329,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Limnenetes,Limnenetes platyceps,ruminantia,,
330,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Mediochoerus,Mediochoerus blicki,ruminantia,,
331,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Mediochoerus,Mediochoerus mohavensis,ruminantia,,
341,Artiodactyla,Merycoidodontidae,Merycoidodontidae,Merycochoerus,Merycochoerus carrikeri,ruminantia,,
