specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 91224,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Female,12.206,12.084,12.168,17.305,17.234,17.266,16.586,16.445,16.774,20.185,20.499,20.081,25.237,25.402,25.568,35.606,35.858,36.101
FMNH 91225,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Unknown,12.745,12.891,13.027,16.046,15.911,15.973,16.664,16.694,16.323,18.867,18.688,18.688,22.145,21.987,21.821,32.973,33.052,32.918
FMNH 91226,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Unknown,13.474,13.179,13.407,16.045,15.93,16.157,17.9,18.409,17.983,19.513,19.928,19.504,23.036,23.38,23.082,31.646,31.971,31.873
FMNH 31711,Bovidae,Bubulus bubulis bubulis,Bubalus bubalis,Female,,,,24.903,24.812,24.416,26.207,25.975,26.207,29.603,29.114,29.096,34.721,34.045,33.844,41.177,41.66,41.438
FMNH 31712,Bovidae,Bubulas bubulis bubulis,Bubalus bubalis,Female,,,,23.963,24.018,24.291,25.744,25.706,26.776,29.625,30.058,30.19,35.138,35.018,34.905,43.059,42.849,42.944
FMNH 98791,Bovidae,Bubulus depressicornis,Bubalus depressicornis,Female,6.498,5.426,6.143,10.819,10.634,10.891,13.151,13.053,13.053,13.568,13.775,13.822,15.367,15.245,15.294,25,24.788,24.855
FMNH 18937,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Male,10.627,10.622,10.957,14.016,14.328,14.474,15.734,16.083,16.246,18.629,18.37,18.68,22.291,22.189,21.89,37.049,36.716,36.759
FMNH 36791,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Female,8.297,8.071,8.267,13.153,12.844,12.874,14.253,14.412,14.574,19.084,18.772,18.67,22,22.177,22.055,35.473,35.421,35.506
FMNH 39508,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Male,9.595,9.941,9.767,13.988,13.946,13.988,15.027,15.498,15.287,17.393,17.387,17.237,22.819,22.931,22.803,33.65,33.37,33.789
FMNH 39510,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Male,8.974,9.305,9.631,12.403,12.725,12.725,15.662,15.852,15.5,18.768,18.279,18.928,22.755,22.389,22.671,37.434,37.403,36.848
FMNH 39513,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Female,9.255,9.185,9.372,13.546,13.732,14.092,14.528,14.576,13.948,18.901,19.253,19.239,22.256,22.501,22.375,36.942,36.725,36.577
FMNH 18847,Camelidae,Camelus bacterianus,Camelus bactrianus,Unknown,,,,,,,17.363,17.547,17.174,29.802,29.927,29.738,37.224,37.537,37.537,53.855,53.813,53.961
FMNH 21708,Camelidae,Camelus bacterianus,Camelus bactrianus,Male,,,,,,,20.455,19.935,19.957,30.368,29.94,29.97,40.658,40.485,40.485,54.514,54.681,54.77
FMNH 8411,Camelidae,Camelus dromedarius,Camelus dromedarius,Male,,,,,,,19.81,19.88,20.023,27.573,27.877,27.983,40.961,40.65,40.525,59.006,58.976,58.776
